,subject,word,s2_value,in.cs,order,num_eval,highest_value_so_far,did_continue_eval,is_in_order,rank
479,A38OOGMA0M6KFC,OCTOBER,20,True,1.0,2,20,True,False,3
1087,A38RHRTIP0PYNU,NOVEMBER,22,True,2.0,3,22,True,False,2
765,A38RHRTIP0PYNU,MARCH,18,True,1.0,3,18,True,False,5
2255,A38RHRTIP0PYNU,DECEMBER,3,True,3.0,3,22,False,False,11
191,A38VJLWAK356BN,SEPTEMBER,16,True,2.0,5,20,True,False,6
1088,A38VJLWAK356BN,NOVEMBER,22,True,3.0,5,22,True,False,2
480,A38VJLWAK356BN,OCTOBER,20,True,1.0,5,20,True,False,3
766,A38VJLWAK356BN,MARCH,18,True,4.0,5,22,True,False,5
2256,A38VJLWAK356BN,DECEMBER,3,True,5.0,5,22,False,False,11
1089,A38W31UJ4HXYYJ,NOVEMBER,22,True,4.0,4,25,False,False,2
1411,A38W31UJ4HXYYJ,APRIL,18,True,2.0,4,25,True,False,4
2835,A38W31UJ4HXYYJ,MAY,25,True,1.0,4,25,True,False,1
481,A38W31UJ4HXYYJ,OCTOBER,20,True,3.0,4,25,True,False,3
2551,A38ZLHQKD09JMM,JANUARY,14,True,1.0,4,14,True,False,7
1412,A38ZLHQKD09JMM,APRIL,18,True,3.0,4,18,True,False,4
767,A38ZLHQKD09JMM,MARCH,18,True,2.0,4,18,True,False,5
2836,A38ZLHQKD09JMM,MAY,25,True,4.0,4,25,False,False,1
768,A392Q6IRAQ9NZ3,MARCH,18,True,5.0,5,18,False,False,5
2552,A392Q6IRAQ9NZ3,JANUARY,14,True,1.0,5,14,True,False,7
2257,A392Q6IRAQ9NZ3,DECEMBER,3,True,3.0,5,14,True,False,11
1666,A392Q6IRAQ9NZ3,FEBRUARY,2,True,2.0,5,14,True,False,12
3038,A392Q6IRAQ9NZ3,JUNE,14,True,4.0,5,14,True,False,8
769,A39A3I18OG0XLI,MARCH,18,True,1.0,2,18,True,False,5
1090,A39A3I18OG0XLI,NOVEMBER,22,True,2.0,2,22,False,False,2
2553,A39DT3X739APZJ,JANUARY,14,True,5.0,6,18,True,False,7
2034,A39DT3X739APZJ,AUGUST,7,True,6.0,6,18,False,False,10
192,A39DT3X739APZJ,SEPTEMBER,16,True,2.0,6,18,True,False,6
1413,A39DT3X739APZJ,APRIL,18,True,4.0,6,18,True,False,4
1667,A39DT3X739APZJ,FEBRUARY,2,True,3.0,6,18,True,False,12
770,A39DT3X739APZJ,MARCH,18,True,1.0,6,18,True,False,5
2837,A39MTR3ER9GLBF,MAY,25,True,1.0,1,25,False,False,1
2838,A39O3O4F2CUIKA,MAY,25,True,3.0,3,25,False,False,1
1414,A39O3O4F2CUIKA,APRIL,18,True,2.0,3,18,True,False,4
3039,A39O3O4F2CUIKA,JUNE,14,True,1.0,3,14,True,False,8
1415,A39SZWO6WVAJE7,APRIL,18,True,6.0,6,20,False,False,4
482,A39SZWO6WVAJE7,OCTOBER,20,True,3.0,6,20,True,False,3
193,A39SZWO6WVAJE7,SEPTEMBER,16,True,2.0,6,16,True,False,6
2258,A39SZWO6WVAJE7,DECEMBER,3,True,1.0,6,3,True,False,11
2035,A39SZWO6WVAJE7,AUGUST,7,True,4.0,6,20,True,False,10
1886,A39SZWO6WVAJE7,JULY,12,True,5.0,6,20,True,False,9
1416,A39TJIST5QLHL0,APRIL,18,True,6.0,7,22,True,False,4
2839,A39TJIST5QLHL0,MAY,25,True,7.0,7,25,False,False,1
3040,A39TJIST5QLHL0,JUNE,14,True,3.0,7,22,True,False,8
1887,A39TJIST5QLHL0,JULY,12,True,4.0,7,22,True,False,9
1668,A39TJIST5QLHL0,FEBRUARY,2,True,5.0,7,22,True,False,12
2554,A39TJIST5QLHL0,JANUARY,14,True,2.0,7,22,True,False,7
1091,A39TJIST5QLHL0,NOVEMBER,22,True,1.0,7,22,True,False,2
2840,A39TKG862PLGK3,MAY,25,True,5.0,10,25,True,False,1
2555,A39TKG862PLGK3,JANUARY,14,True,1.0,10,14,True,False,7
2036,A39TKG862PLGK3,AUGUST,7,True,8.0,10,25,True,False,10
1669,A39TKG862PLGK3,FEBRUARY,2,True,2.0,10,14,True,False,12
1092,A39TKG862PLGK3,NOVEMBER,22,True,10.0,10,25,False,False,2
194,A39TKG862PLGK3,SEPTEMBER,16,True,9.0,10,25,True,False,6
771,A39TKG862PLGK3,MARCH,18,True,3.0,10,18,True,False,5
3041,A39TKG862PLGK3,JUNE,14,True,6.0,10,25,True,False,8
1888,A39TKG862PLGK3,JULY,12,True,7.0,10,25,True,False,9
1417,A39TKG862PLGK3,APRIL,18,True,4.0,10,18,True,False,4
2556,A39VZ93N96XB6O,JANUARY,14,True,2.0,5,14,True,False,7
2841,A39VZ93N96XB6O,MAY,25,True,5.0,5,25,False,False,1
1418,A39VZ93N96XB6O,APRIL,18,True,4.0,5,18,True,False,4
1670,A39VZ93N96XB6O,FEBRUARY,2,True,1.0,5,2,True,False,12
772,A39VZ93N96XB6O,MARCH,18,True,3.0,5,18,True,False,5
1419,A39Y2UOHEAD0DT,APRIL,18,True,3.0,4,18,True,False,4
2842,A39Y2UOHEAD0DT,MAY,25,True,4.0,4,25,False,False,1
1671,A39Y2UOHEAD0DT,FEBRUARY,2,True,1.0,4,2,True,False,12
2259,A39Y2UOHEAD0DT,DECEMBER,3,True,2.0,4,3,True,False,11
2260,A39YWO5O88IAIC,DECEMBER,3,True,4.0,5,22,True,False,11
2843,A39YWO5O88IAIC,MAY,25,True,5.0,5,25,False,False,1
195,A39YWO5O88IAIC,SEPTEMBER,16,True,1.0,5,16,True,False,6
1093,A39YWO5O88IAIC,NOVEMBER,22,True,2.0,5,22,True,False,2
1420,A39YWO5O88IAIC,APRIL,18,True,3.0,5,22,True,False,4
2844,A3A18NHBQPKI1G,MAY,25,True,1.0,3,25,True,False,1
2557,A3A18NHBQPKI1G,JANUARY,14,True,2.0,3,25,True,False,7
1672,A3A18NHBQPKI1G,FEBRUARY,2,True,3.0,3,25,False,False,12
2845,A3A72O5VTCQM32,MAY,25,True,5.0,9,25,True,False,1
1094,A3A72O5VTCQM32,NOVEMBER,22,True,1.0,9,22,True,False,2
1421,A3A72O5VTCQM32,APRIL,18,True,4.0,9,22,True,False,4
773,A3A72O5VTCQM32,MARCH,18,True,3.0,9,22,True,False,5
196,A3A72O5VTCQM32,SEPTEMBER,16,True,8.0,9,25,True,False,6
1889,A3A72O5VTCQM32,JULY,12,True,7.0,9,25,True,False,9
3042,A3A72O5VTCQM32,JUNE,14,True,6.0,9,25,True,False,8
2558,A3A72O5VTCQM32,JANUARY,14,True,2.0,9,22,True,False,7
483,A3A72O5VTCQM32,OCTOBER,20,True,9.0,9,25,False,False,3
2846,A3ADW9UL4BFE72,MAY,25,True,3.0,5,25,True,False,1
2559,A3ADW9UL4BFE72,JANUARY,14,True,4.0,5,25,True,False,7
1422,A3ADW9UL4BFE72,APRIL,18,True,5.0,5,25,False,False,4
1890,A3ADW9UL4BFE72,JULY,12,True,2.0,5,12,True,False,9
2261,A3ADW9UL4BFE72,DECEMBER,3,True,1.0,5,3,True,False,11
774,A3AJS0ZJAU1GTH,MARCH,18,True,2.0,4,18,True,False,5
1673,A3AJS0ZJAU1GTH,FEBRUARY,2,True,3.0,4,18,True,False,12
2560,A3AJS0ZJAU1GTH,JANUARY,14,True,1.0,4,14,True,False,7
2847,A3AJS0ZJAU1GTH,MAY,25,True,4.0,4,25,False,False,1
1891,A3ATZTGLM6AK05,JULY,12,True,5.0,6,22,True,False,9
1674,A3ATZTGLM6AK05,FEBRUARY,2,True,2.0,6,14,True,False,12
1095,A3ATZTGLM6AK05,NOVEMBER,22,True,4.0,6,22,True,False,2
2561,A3ATZTGLM6AK05,JANUARY,14,True,1.0,6,14,True,False,7
484,A3ATZTGLM6AK05,OCTOBER,20,True,6.0,6,22,False,False,3
2262,A3ATZTGLM6AK05,DECEMBER,3,True,3.0,6,14,True,False,11
197,A3AX7TD0RPYKF8,SEPTEMBER,16,True,1.0,3,16,True,False,6
485,A3AX7TD0RPYKF8,OCTOBER,20,True,2.0,3,20,True,False,3
1096,A3AX7TD0RPYKF8,NOVEMBER,22,True,3.0,3,22,False,False,2
2263,A3B2IU7X5LG7ZS,DECEMBER,3,True,4.0,4,18,False,False,11
775,A3B2IU7X5LG7ZS,MARCH,18,True,3.0,4,18,True,False,5
1675,A3B2IU7X5LG7ZS,FEBRUARY,2,True,1.0,4,14,True,False,12
2562,A3B2IU7X5LG7ZS,JANUARY,14,True,1.0,4,14,True,False,7
776,A3B96QLXW4J0BL,MARCH,18,True,6.0,6,18,False,False,5
1676,A3B96QLXW4J0BL,FEBRUARY,2,True,4.0,6,14,True,False,12
2563,A3B96QLXW4J0BL,JANUARY,14,True,3.0,6,14,True,False,7
3043,A3B96QLXW4J0BL,JUNE,14,True,2.0,6,14,True,False,8
2264,A3B96QLXW4J0BL,DECEMBER,3,True,1.0,6,3,True,False,11
198,A3B96QLXW4J0BL,SEPTEMBER,16,True,5.0,6,16,True,False,6
1097,A3BBR5O4W6XHBV,NOVEMBER,22,True,2.0,3,22,True,False,2
1423,A3BBR5O4W6XHBV,APRIL,18,True,1.0,3,18,True,False,4
199,A3BBR5O4W6XHBV,SEPTEMBER,16,True,3.0,3,22,False,False,6
777,A3BET9WAP5LMQA,MARCH,18,True,3.0,8,18,True,False,5
200,A3BET9WAP5LMQA,SEPTEMBER,16,True,8.0,8,18,False,False,6
2564,A3BET9WAP5LMQA,JANUARY,14,True,1.0,8,14,True,False,7
3044,A3BET9WAP5LMQA,JUNE,14,True,5.0,8,18,True,False,8
1677,A3BET9WAP5LMQA,FEBRUARY,2,True,2.0,8,14,True,False,12
2037,A3BET9WAP5LMQA,AUGUST,7,True,7.0,8,18,True,False,10
1892,A3BET9WAP5LMQA,JULY,12,True,6.0,8,18,True,False,9
1424,A3BET9WAP5LMQA,APRIL,18,True,4.0,8,18,True,False,4
3045,A3BH4AHL84Y1V6,JUNE,14,True,2.0,2,14,False,False,8
2265,A3BH4AHL84Y1V6,DECEMBER,3,True,1.0,2,3,True,False,11
1098,A3BK3FRTQDW1S,NOVEMBER,22,True,3.0,3,22,False,False,2
2266,A3BK3FRTQDW1S,DECEMBER,3,True,2.0,3,14,True,False,11
3046,A3BK3FRTQDW1S,JUNE,14,True,1.0,3,14,True,False,8
1099,A3BSK47WPPE876,NOVEMBER,22,True,1.0,5,22,True,False,2
778,A3BSK47WPPE876,MARCH,18,True,2.0,5,22,True,False,5
2267,A3BSK47WPPE876,DECEMBER,3,True,4.0,5,22,True,False,11
2565,A3BSK47WPPE876,JANUARY,14,True,5.0,5,22,False,False,7
1678,A3BSK47WPPE876,FEBRUARY,2,True,3.0,5,22,True,False,12
201,A3BUAODQX3WEZU,SEPTEMBER,16,True,3.0,6,16,True,False,6
486,A3BUAODQX3WEZU,OCTOBER,20,True,4.0,6,20,True,False,3
1679,A3BUAODQX3WEZU,FEBRUARY,2,True,1.0,6,2,True,False,12
2268,A3BUAODQX3WEZU,DECEMBER,3,True,6.0,6,22,False,False,11
2038,A3BUAODQX3WEZU,AUGUST,7,True,3.0,6,7,True,False,10
1100,A3BUAODQX3WEZU,NOVEMBER,22,True,5.0,6,22,True,False,2
2566,A3C5A515KHWU1P,JANUARY,14,True,5.0,6,22,True,False,7
1893,A3C5A515KHWU1P,JULY,12,True,3.0,6,18,True,False,9
2039,A3C5A515KHWU1P,AUGUST,7,True,2.0,6,18,True,False,10
1101,A3C5A515KHWU1P,NOVEMBER,22,True,4.0,6,22,True,False,2
487,A3C5A515KHWU1P,OCTOBER,20,True,6.0,6,22,False,False,3
1425,A3C5A515KHWU1P,APRIL,18,True,1.0,6,18,True,False,4
1426,A3C5AUEVL5N64J,APRIL,18,True,6.0,8,20,True,False,4
779,A3C5AUEVL5N64J,MARCH,18,True,4.0,8,20,True,False,5
2040,A3C5AUEVL5N64J,AUGUST,7,True,2.0,8,20,True,False,10
202,A3C5AUEVL5N64J,SEPTEMBER,16,True,8.0,8,22,False,False,6
1680,A3C5AUEVL5N64J,FEBRUARY,2,True,5.0,8,20,True,False,12
2567,A3C5AUEVL5N64J,JANUARY,14,True,3.0,8,20,True,False,7
1102,A3C5AUEVL5N64J,NOVEMBER,22,True,7.0,8,22,True,False,2
488,A3C5AUEVL5N64J,OCTOBER,20,True,1.0,8,20,True,False,3
1103,A3C5KFPIBYOQVX,NOVEMBER,22,True,1.0,1,22,False,False,2
2269,A3CCXD63N92HZ5,DECEMBER,3,True,2.0,4,12,True,False,11
3047,A3CCXD63N92HZ5,JUNE,14,True,4.0,4,16,False,False,8
1894,A3CCXD63N92HZ5,JULY,12,True,1.0,4,12,True,False,9
203,A3CCXD63N92HZ5,SEPTEMBER,16,True,3.0,4,16,True,False,6
1427,A3CNCBUNWS6Z2U,APRIL,18,True,1.0,3,18,True,False,4
2848,A3CNCBUNWS6Z2U,MAY,25,True,3.0,3,25,False,False,1
780,A3CNCBUNWS6Z2U,MARCH,18,True,2.0,3,18,True,False,5
489,A3D9CZDMVJQRB6,OCTOBER,20,True,6.0,7,22,True,False,3
1681,A3D9CZDMVJQRB6,FEBRUARY,2,True,3.0,7,22,True,False,12
204,A3D9CZDMVJQRB6,SEPTEMBER,16,True,4.0,7,22,True,False,6
781,A3D9CZDMVJQRB6,MARCH,18,True,7.0,7,22,False,False,5
2568,A3D9CZDMVJQRB6,JANUARY,14,True,1.0,7,14,True,False,7
2270,A3D9CZDMVJQRB6,DECEMBER,3,True,5.0,7,22,True,False,11
1104,A3D9CZDMVJQRB6,NOVEMBER,22,True,2.0,7,22,True,False,2
2271,A3D9P4E7HHD68M,DECEMBER,3,True,6.0,7,22,True,False,11
205,A3D9P4E7HHD68M,SEPTEMBER,16,True,3.0,7,16,True,False,6
1682,A3D9P4E7HHD68M,FEBRUARY,2,True,2.0,7,14,True,False,12
2569,A3D9P4E7HHD68M,JANUARY,14,True,1.0,7,14,True,False,7
1428,A3D9P4E7HHD68M,APRIL,18,True,7.0,7,22,False,False,4
490,A3D9P4E7HHD68M,OCTOBER,20,True,4.0,7,20,True,False,3
1105,A3D9P4E7HHD68M,NOVEMBER,22,True,5.0,7,22,True,False,2
2849,A3DDTGMRDXR9NR,MAY,25,True,1.0,2,25,True,False,1
1106,A3DDTGMRDXR9NR,NOVEMBER,22,True,2.0,2,25,False,False,2
1107,A3DMLTJ0JIVFHF,NOVEMBER,22,True,1.0,1,22,False,False,2
1108,A3DSU8RJ9BWCMC,NOVEMBER,22,True,5.0,5,22,False,False,2
206,A3DSU8RJ9BWCMC,SEPTEMBER,16,True,3.0,5,18,True,False,6
1429,A3DSU8RJ9BWCMC,APRIL,18,True,1.0,5,18,True,False,4
491,A3DSU8RJ9BWCMC,OCTOBER,20,True,4.0,5,20,True,False,3
782,A3DSU8RJ9BWCMC,MARCH,18,True,2.0,5,18,True,False,5
2570,A3E2ZOOQPLPBM,JANUARY,14,True,1.0,8,14,True,False,7
3048,A3E2ZOOQPLPBM,JUNE,14,True,5.0,8,22,True,False,8
2850,A3E2ZOOQPLPBM,MAY,25,True,8.0,8,25,False,False,1
1683,A3E2ZOOQPLPBM,FEBRUARY,2,True,6.0,8,22,True,False,12
207,A3E2ZOOQPLPBM,SEPTEMBER,16,True,2.0,8,16,True,False,6
1430,A3E2ZOOQPLPBM,APRIL,18,True,7.0,8,22,True,False,4
783,A3E2ZOOQPLPBM,MARCH,18,True,4.0,8,22,True,False,5
1109,A3E2ZOOQPLPBM,NOVEMBER,22,True,3.0,8,22,True,False,2
1110,A3EIVR2LS7CCWB,NOVEMBER,22,True,1.0,1,22,False,False,2
784,A3EVC23C1TJL3,MARCH,18,True,5.0,7,18,True,False,5
1684,A3EVC23C1TJL3,FEBRUARY,2,True,2.0,7,14,True,False,12
1111,A3EVC23C1TJL3,NOVEMBER,22,True,7.0,7,25,False,False,2
2851,A3EVC23C1TJL3,MAY,25,True,6.0,7,25,True,False,1
2571,A3EVC23C1TJL3,JANUARY,14,True,2.0,7,14,True,False,7
2041,A3EVC23C1TJL3,AUGUST,7,True,3.0,7,14,True,False,10
1895,A3EVC23C1TJL3,JULY,12,True,1.0,7,12,True,False,9
492,A3FAV5GTILIKS9,OCTOBER,20,True,3.0,5,20,True,False,3
208,A3FAV5GTILIKS9,SEPTEMBER,16,True,1.0,5,16,True,False,6
2572,A3FAV5GTILIKS9,JANUARY,14,True,4.0,5,20,True,False,7
1112,A3FAV5GTILIKS9,NOVEMBER,22,True,5.0,5,22,False,False,2
1685,A3FAV5GTILIKS9,FEBRUARY,2,True,2.0,5,16,True,False,12
1113,A3FCBI702PT1WN,NOVEMBER,22,True,1.0,1,22,False,False,2
1114,A3FSRWB5SXKG5K,NOVEMBER,22,True,1.0,1,22,False,False,2
785,A3G54R8P3WIVOX,MARCH,18,True,1.0,4,18,True,False,5
2042,A3G54R8P3WIVOX,AUGUST,7,True,3.0,4,18,True,False,10
1431,A3G54R8P3WIVOX,APRIL,18,True,2.0,4,18,True,False,4
493,A3G54R8P3WIVOX,OCTOBER,20,True,4.0,4,20,False,False,3
1686,A3GD6QGVN7PWFR,FEBRUARY,2,True,1.0,7,2,True,False,12
1432,A3GD6QGVN7PWFR,APRIL,18,True,6.0,7,18,True,False,4
1896,A3GD6QGVN7PWFR,JULY,12,True,2.0,7,12,True,False,9
2852,A3GD6QGVN7PWFR,MAY,25,True,7.0,7,25,False,False,1
2043,A3GD6QGVN7PWFR,AUGUST,7,True,3.0,7,12,True,False,10
3049,A3GD6QGVN7PWFR,JUNE,14,True,4.0,7,14,True,False,8
786,A3GD6QGVN7PWFR,MARCH,18,True,5.0,7,18,True,False,5
494,A3GHXWLVYPFZKQ,OCTOBER,20,True,5.0,6,25,True,False,3
2853,A3GHXWLVYPFZKQ,MAY,25,True,4.0,6,25,True,False,1
2573,A3GHXWLVYPFZKQ,JANUARY,14,True,1.0,6,14,True,False,7
787,A3GHXWLVYPFZKQ,MARCH,18,True,2.0,6,18,True,False,5
1433,A3GHXWLVYPFZKQ,APRIL,18,True,3.0,6,18,True,False,4
1115,A3GHXWLVYPFZKQ,NOVEMBER,22,True,6.0,6,25,False,False,2
3050,A3GR67CRG4SLB6,JUNE,14,True,3.0,5,22,True,False,8
495,A3GR67CRG4SLB6,OCTOBER,20,True,5.0,5,22,False,False,3
209,A3GR67CRG4SLB6,SEPTEMBER,16,True,4.0,5,22,True,False,6
2272,A3GR67CRG4SLB6,DECEMBER,3,True,2.0,5,22,True,False,11
1116,A3GR67CRG4SLB6,NOVEMBER,22,True,1.0,5,22,True,False,2
788,A3H17JEGNZNHZ,MARCH,18,True,4.0,4,18,False,False,5
1687,A3H17JEGNZNHZ,FEBRUARY,2,True,2.0,4,14,True,False,12
2574,A3H17JEGNZNHZ,JANUARY,14,True,1.0,4,14,True,False,7
1434,A3H17JEGNZNHZ,APRIL,18,True,3.0,4,18,True,False,4
1117,A3HK4BHZ5TNMF1,NOVEMBER,22,True,1.0,3,22,True,False,2
496,A3HK4BHZ5TNMF1,OCTOBER,20,True,2.0,3,22,True,False,3
210,A3HK4BHZ5TNMF1,SEPTEMBER,16,True,3.0,3,22,False,False,6
3051,A3HXHW0ZGBNCTG,JUNE,14,True,2.0,3,14,True,False,8
2575,A3HXHW0ZGBNCTG,JANUARY,14,True,3.0,3,14,False,False,7
1897,A3HXHW0ZGBNCTG,JULY,12,True,1.0,3,12,True,False,9
1118,A3I0ITCG0HKFFZ,NOVEMBER,22,True,1.0,6,22,True,False,2
789,A3I0ITCG0HKFFZ,MARCH,18,True,5.0,6,22,True,False,5
1435,A3I0ITCG0HKFFZ,APRIL,18,True,4.0,6,22,True,False,4
1688,A3I0ITCG0HKFFZ,FEBRUARY,2,True,3.0,6,22,True,False,12
2576,A3I0ITCG0HKFFZ,JANUARY,14,True,2.0,6,22,True,False,7
2854,A3I0ITCG0HKFFZ,MAY,25,True,6.0,6,25,False,False,1
3052,A3I3DDR5L9JWKG,JUNE,14,True,5.0,11,18,True,False,8
497,A3I3DDR5L9JWKG,OCTOBER,20,True,9.0,11,20,True,False,3
2577,A3I3DDR5L9JWKG,JANUARY,14,True,3.0,11,18,True,False,7
1436,A3I3DDR5L9JWKG,APRIL,18,True,2.0,11,18,True,False,4
1119,A3I3DDR5L9JWKG,NOVEMBER,22,True,10.0,11,22,True,False,2
2273,A3I3DDR5L9JWKG,DECEMBER,3,True,11.0,11,22,False,False,11
1898,A3I3DDR5L9JWKG,JULY,12,True,6.0,11,18,True,False,9
790,A3I3DDR5L9JWKG,MARCH,18,True,1.0,11,18,True,False,5
2044,A3I3DDR5L9JWKG,AUGUST,7,True,7.0,11,18,True,False,10
1689,A3I3DDR5L9JWKG,FEBRUARY,2,True,4.0,11,18,True,False,12
211,A3I3DDR5L9JWKG,SEPTEMBER,16,True,8.0,11,18,True,False,6
791,A3I59X3NKUWB01,MARCH,18,True,5.0,7,18,True,False,5
2045,A3I59X3NKUWB01,AUGUST,7,True,1.0,7,7,True,False,10
1120,A3I59X3NKUWB01,NOVEMBER,22,True,7.0,7,22,False,False,2
2578,A3I59X3NKUWB01,JANUARY,14,True,4.0,7,14,True,False,7
498,A3I59X3NKUWB01,OCTOBER,20,True,6.0,7,20,True,False,3
3053,A3I59X3NKUWB01,JUNE,14,True,3.0,7,14,True,False,8
1899,A3I59X3NKUWB01,JULY,12,True,2.0,7,12,True,False,9
2579,A3I5Y5VHH6UUZE,JANUARY,14,True,2.0,4,14,True,False,7
2274,A3I5Y5VHH6UUZE,DECEMBER,3,True,1.0,4,3,True,False,11
1690,A3I5Y5VHH6UUZE,FEBRUARY,2,True,3.0,4,14,True,False,12
792,A3I5Y5VHH6UUZE,MARCH,18,True,4.0,4,18,False,False,5
1121,A3I9XLIHPPWPN1,NOVEMBER,22,True,5.0,6,22,True,False,2
2580,A3I9XLIHPPWPN1,JANUARY,14,True,1.0,6,14,True,False,7
2046,A3I9XLIHPPWPN1,AUGUST,7,True,4.0,6,16,True,False,10
1691,A3I9XLIHPPWPN1,FEBRUARY,2,True,6.0,6,22,False,False,12
212,A3I9XLIHPPWPN1,SEPTEMBER,16,True,2.0,6,16,True,False,6
2275,A3I9XLIHPPWPN1,DECEMBER,3,True,3.0,6,16,True,False,11
213,A3IC61LDXYISDY,SEPTEMBER,16,True,9.0,12,25,True,False,6
1900,A3IC61LDXYISDY,JULY,12,True,7.0,12,25,True,False,9
2855,A3IC61LDXYISDY,MAY,25,True,5.0,12,25,True,False,1
3054,A3IC61LDXYISDY,JUNE,14,True,6.0,12,25,True,False,8
793,A3IC61LDXYISDY,MARCH,18,True,2.0,12,18,True,False,5
2581,A3IC61LDXYISDY,JANUARY,14,True,1.0,12,14,True,False,7
2276,A3IC61LDXYISDY,DECEMBER,3,True,12.0,12,25,False,False,11
2047,A3IC61LDXYISDY,AUGUST,7,True,8.0,12,25,True,False,10
499,A3IC61LDXYISDY,OCTOBER,20,True,10.0,12,25,True,False,3
1122,A3IC61LDXYISDY,NOVEMBER,22,True,11.0,12,25,True,False,2
1692,A3IC61LDXYISDY,FEBRUARY,2,True,2.0,12,14,True,False,12
1437,A3IC61LDXYISDY,APRIL,18,True,4.0,12,18,True,False,4
2856,A3ICPTH1JZOSC5,MAY,25,True,4.0,4,25,False,False,1
2582,A3ICPTH1JZOSC5,JANUARY,14,True,1.0,4,14,True,False,7
1693,A3ICPTH1JZOSC5,FEBRUARY,2,True,2.0,4,14,True,False,12
1438,A3ICPTH1JZOSC5,APRIL,18,True,3.0,4,18,True,False,4
1123,A3IDBFPW2T9P5D,NOVEMBER,22,True,1.0,5,22,True,False,2
1694,A3IDBFPW2T9P5D,FEBRUARY,2,True,5.0,5,22,False,False,12
3055,A3IDBFPW2T9P5D,JUNE,14,True,4.0,5,22,True,False,8
214,A3IDBFPW2T9P5D,SEPTEMBER,16,True,2.0,5,22,True,False,6
1901,A3IDBFPW2T9P5D,JULY,12,True,3.0,5,22,True,False,9
500,A3IIXZGPI4QN8,OCTOBER,20,True,7.0,8,25,True,False,3
2277,A3IIXZGPI4QN8,DECEMBER,3,True,8.0,8,25,False,False,11
794,A3IIXZGPI4QN8,MARCH,18,True,3.0,8,18,True,False,5
1695,A3IIXZGPI4QN8,FEBRUARY,2,True,2.0,8,14,True,False,12
2583,A3IIXZGPI4QN8,JANUARY,14,True,1.0,8,14,True,False,7
2857,A3IIXZGPI4QN8,MAY,25,True,5.0,8,25,True,False,1
1439,A3IIXZGPI4QN8,APRIL,18,True,4.0,8,18,True,False,4
3056,A3IIXZGPI4QN8,JUNE,14,True,6.0,8,25,True,False,8
1696,A3IJCDUFWJ9XRO,FEBRUARY,2,True,5.0,5,22,False,False,12
2278,A3IJCDUFWJ9XRO,DECEMBER,3,True,3.0,5,20,True,False,11
501,A3IJCDUFWJ9XRO,OCTOBER,20,True,1.0,5,20,True,False,3
1124,A3IJCDUFWJ9XRO,NOVEMBER,22,True,4.0,5,22,True,False,2
2584,A3IJCDUFWJ9XRO,JANUARY,14,True,2.0,5,20,True,False,7
502,A3IQFQLJBO045H,OCTOBER,20,True,1.0,1,20,False,False,3
503,A3IXM7AROZIX0H,OCTOBER,20,True,1.0,2,20,True,False,3
1125,A3IXM7AROZIX0H,NOVEMBER,22,True,2.0,2,22,False,False,2
795,A3JC9VPPTHNKVL,MARCH,18,True,1.0,4,18,True,False,5
2585,A3JC9VPPTHNKVL,JANUARY,14,True,2.0,4,18,True,False,7
1697,A3JC9VPPTHNKVL,FEBRUARY,2,True,3.0,4,18,True,False,12
2858,A3JC9VPPTHNKVL,MAY,25,True,4.0,4,25,False,False,1
215,A3JDCLX5RZBGUP,SEPTEMBER,16,True,1.0,6,16,True,False,6
2048,A3JDCLX5RZBGUP,AUGUST,7,True,3.0,6,16,True,False,10
1698,A3JDCLX5RZBGUP,FEBRUARY,2,True,6.0,6,16,False,False,12
2279,A3JDCLX5RZBGUP,DECEMBER,3,True,5.0,6,16,True,False,11
1902,A3JDCLX5RZBGUP,JULY,12,True,2.0,6,16,True,False,9
2049,A3JG44GC9BIM58,AUGUST,7,True,1.0,7,7,True,False,10
1699,A3JG44GC9BIM58,FEBRUARY,2,True,4.0,7,18,True,False,12
2280,A3JG44GC9BIM58,DECEMBER,3,True,7.0,7,22,False,False,11
796,A3JG44GC9BIM58,MARCH,18,True,3.0,7,18,True,False,5
1903,A3JG44GC9BIM58,JULY,12,True,2.0,7,12,True,False,9
2587,A3JG44GC9BIM58,JANUARY,14,True,5.0,7,18,True,False,7
1126,A3JG44GC9BIM58,NOVEMBER,22,True,6.0,7,22,True,False,2
2588,A3JGE5CQMB3MYN,JANUARY,14,True,5.0,5,22,False,False,7
1127,A3JGE5CQMB3MYN,NOVEMBER,22,True,2.0,5,22,True,False,2
504,A3JGE5CQMB3MYN,OCTOBER,20,True,1.0,5,20,True,False,3
1700,A3JGE5CQMB3MYN,FEBRUARY,2,True,4.0,5,22,True,False,12
2281,A3JGE5CQMB3MYN,DECEMBER,3,True,3.0,5,22,True,False,11
1128,A3JRQJKFG066X0,NOVEMBER,22,True,1.0,1,22,False,False,2
2859,A3JUF1G7UOCGRK,MAY,25,True,4.0,4,25,False,False,1
1701,A3JUF1G7UOCGRK,FEBRUARY,2,True,2.0,4,14,True,False,12
2589,A3JUF1G7UOCGRK,JANUARY,14,True,1.0,4,14,True,False,7
1440,A3JUF1G7UOCGRK,APRIL,18,True,3.0,4,18,True,False,4
1702,A3JVOMZOZ81R1S,FEBRUARY,2,True,2.0,4,14,True,False,12
1904,A3JVOMZOZ81R1S,JULY,12,True,4.0,4,14,False,False,9
2590,A3JVOMZOZ81R1S,JANUARY,14,True,1.0,4,14,True,False,7
