,num_actions,action_cost,r,agent,utility
8,20,100,0.95,15,-7.836499901849335
9,20,100,0.95,20,-17.632124779161003
10,20,100,0.95,Optimal,18.96888185491775
11,20,100,0.95,Dynamic,18.432931207623483
0,20,100,1.0,1,18.470879809809606
1,20,100,1.0,2,16.623791828828647
2,20,100,1.0,3,14.776703847847687
3,20,100,1.0,4,12.929615866866728
4,20,100,1.0,5,11.082527885885767
5,20,100,1.0,7,7.388351923923843
6,20,100,1.0,9,3.6941759619619217
7,20,100,1.0,12,-1.8470879809809608
8,20,100,1.0,15,-7.388351923923843
9,20,100,1.0,20,-16.623791828828647
10,20,100,1.0,Optimal,18.470879809809606
11,20,100,1.0,Dynamic,18.470879809809606
0,100,2,0.25,1,297.59804573007875
1,100,2,0.25,2,526.797584919325
2,100,2,0.25,3,624.6773018071299
3,100,2,0.25,4,682.8128786496434
4,100,2,0.25,5,737.778621136923
5,100,2,0.25,7,825.9106268125092
6,100,2,0.25,9,884.5501273485083
7,100,2,0.25,12,970.5043199837388
8,100,2,0.25,15,1025.6957869500295
9,100,2,0.25,20,1062.6337088730588
10,100,2,0.25,40,1077.3789674773725
11,100,2,0.25,80,1048.621696977206
12,100,2,0.25,100,1005.4993916832434
13,100,2,0.25,Optimal,1181.3668208724196
14,100,2,0.25,Dynamic,1077.2016944208758
0,100,2,0.5,1,580.199990348569
1,100,2,0.5,2,808.6603234715916
2,100,2,0.5,3,975.49346603192
3,100,2,0.5,4,1022.2606780372583
4,100,2,0.5,5,1055.175702511759
5,100,2,0.5,7,1085.0974905195392
6,100,2,0.5,9,1103.8782023449066
7,100,2,0.5,12,1137.0432724224277
8,100,2,0.5,15,1150.957720200955
9,100,2,0.5,20,1156.174451846319
10,100,2,0.5,40,1148.892998322994
11,100,2,0.5,80,1059.107377268683
12,100,2,0.5,100,1009.2829656555133
13,100,2,0.5,Optimal,1224.9232513061415
14,100,2,0.5,Dynamic,1163.3911524209323
0,100,2,0.7,1,882.2749646180434
1,100,2,0.7,2,1028.290143712509
2,100,2,0.7,3,1097.2881991091622
3,100,2,0.7,4,1129.1197550733282
4,100,2,0.7,5,1150.6300639673527
5,100,2,0.7,7,1183.1150408498022
6,100,2,0.7,9,1198.1675557389885
7,100,2,0.7,12,1206.5935165918115
8,100,2,0.7,15,1203.040844619296
9,100,2,0.7,20,1197.8720508537576
10,100,2,0.7,40,1157.6997941765767
11,100,2,0.7,80,1058.9515308245957
12,100,2,0.7,100,1008.6450447996743
13,100,2,0.7,Optimal,1243.6178086064415
14,100,2,0.7,Dynamic,1209.8820215350618
0,100,2,0.8,1,1000.2732188842617
1,100,2,0.8,2,1096.9847890286237
2,100,2,0.8,3,1154.2678125806488
3,100,2,0.8,4,1170.2394022511373
4,100,2,0.8,5,1189.212351917883
5,100,2,0.8,7,1220.5371539357202
6,100,2,0.8,9,1217.9859411787174
7,100,2,0.8,12,1219.9814228793389
8,100,2,0.8,15,1215.4666468785672
9,100,2,0.8,20,1205.159378420468
10,100,2,0.8,40,1155.196828614759
11,100,2,0.8,80,1054.9628304703112
12,100,2,0.8,100,1004.8458313980875
13,100,2,0.8,Optimal,1245.2107501383093
14,100,2,0.8,Dynamic,1214.0202171423382
0,100,2,0.85,1,1022.6990467140188
1,100,2,0.85,2,1121.8507588824532
2,100,2,0.85,3,1151.7102559174
3,100,2,0.85,4,1161.8905473602415
4,100,2,0.85,5,1169.4249147177095
5,100,2,0.85,7,1187.4111510786458
6,100,2,0.85,9,1185.5820176503316
7,100,2,0.85,12,1188.0377458678358
8,100,2,0.85,15,1181.2781810220306
9,100,2,0.85,20,1170.296176058074
10,100,2,0.85,40,1123.167524131365
11,100,2,0.85,80,1025.7126413433941
12,100,2,0.85,100,976.9851999494085
13,100,2,0.85,Optimal,1210.9364099447223
14,100,2,0.85,Dynamic,1193.6024883853784
0,100,2,0.9,1,1084.297760229214
1,100,2,0.9,2,1151.0855505400086
2,100,2,0.9,3,1174.7535971381183
3,100,2,0.9,4,1191.7980060915318
4,100,2,0.9,5,1207.9808086359624
5,100,2,0.9,7,1210.6637347582284
6,100,2,0.9,9,1209.0013186902538
7,100,2,0.9,12,1202.526274997876
8,100,2,0.9,15,1195.3162825481
9,100,2,0.9,20,1184.3436937744164
10,100,2,0.9,40,1136.464982004781
11,100,2,0.9,80,1037.8563067766001
12,100,2,0.9,100,988.55196916251
13,100,2,0.9,Optimal,1227.6067284064352
14,100,2,0.9,Dynamic,1214.8699405809289
0,100,2,0.95,1,1203.4030094306058
1,100,2,0.95,2,1237.895625153032
2,100,2,0.95,3,1248.7967888205133
3,100,2,0.95,4,1251.4156137558577
4,100,2,0.95,5,1249.7597091454472
5,100,2,0.95,7,1246.779010073996
6,100,2,0.95,9,1243.2382417283764
